split,label,count,total_turns,used_turns,share
train,elicit-pref,159,4047,1910,0.08324607329842931
train,no-need,56,4047,1910,0.02931937172774869
train,other-need,86,4047,1910,0.04502617801047121
train,promote-coordination,239,4047,1910,0.12513089005235603
train,self-need,348,4047,1910,0.18219895287958116
train,showing-empathy,61,4047,1910,0.03193717277486911
train,small-talk,689,4047,1910,0.3607329842931937
train,uv-part,46,4047,1910,0.024083769633507852
train,vouch-fair,226,4047,1910,0.11832460732984293
valid,elicit-pref,5,76,43,0.11627906976744186
valid,no-need,4,76,43,0.09302325581395349
valid,promote-coordination,9,76,43,0.20930232558139536
valid,self-need,5,76,43,0.11627906976744186
valid,showing-empathy,3,76,43,0.06976744186046512
valid,small-talk,14,76,43,0.32558139534883723
valid,vouch-fair,3,76,43,0.06976744186046512
test,elicit-pref,22,492,239,0.09205020920502092
test,no-need,11,492,239,0.04602510460251046
test,other-need,9,492,239,0.03765690376569038
test,promote-coordination,31,492,239,0.1297071129707113
test,self-need,45,492,239,0.18828451882845187
test,showing-empathy,11,492,239,0.04602510460251046
test,small-talk,81,492,239,0.3389121338912134
test,uv-part,5,492,239,0.02092050209205021
test,vouch-fair,24,492,239,0.100418410041841
