strategy_a,strategy_b,count
elicit-pref,no-need,13
elicit-pref,other-need,31
elicit-pref,promote-coordination,25
elicit-pref,self-need,76
elicit-pref,showing-empathy,14
elicit-pref,small-talk,79
elicit-pref,uv-part,6
elicit-pref,vouch-fair,14
no-need,other-need,23
no-need,promote-coordination,25
no-need,self-need,73
no-need,showing-empathy,28
no-need,small-talk,18
no-need,uv-part,2
no-need,vouch-fair,8
other-need,promote-coordination,51
other-need,self-need,242
other-need,showing-empathy,48
other-need,small-talk,51
other-need,uv-part,10
other-need,vouch-fair,19
promote-coordination,self-need,112
promote-coordination,showing-empathy,42
promote-coordination,small-talk,46
promote-coordination,uv-part,19
promote-coordination,vouch-fair,96
self-need,showing-empathy,70
self-need,small-talk,125
self-need,uv-part,36
self-need,vouch-fair,55
showing-empathy,small-talk,27
showing-empathy,uv-part,21
showing-empathy,vouch-fair,16
small-talk,uv-part,5
small-talk,vouch-fair,22
uv-part,vouch-fair,13
