dataset,split,origin,strategy,count
D0_original,train,real,elicit-pref,295
D0_original,train,real,no-need,164
D0_original,train,real,non-strategic,1147
D0_original,train,real,other-need,324
D0_original,train,real,promote-coordination,445
D0_original,train,real,self-need,784
D0_original,train,real,showing-empathy,214
D0_original,train,real,small-talk,833
D0_original,train,real,uv-part,107
D0_original,train,real,vouch-fair,359
D0_original,dev,real,elicit-pref,37
D0_original,dev,real,no-need,16
D0_original,dev,real,non-strategic,135
D0_original,dev,real,other-need,50
D0_original,dev,real,promote-coordination,62
D0_original,dev,real,self-need,103
D0_original,dev,real,showing-empathy,29
D0_original,dev,real,small-talk,121
D0_original,dev,real,uv-part,14
D0_original,dev,real,vouch-fair,36
D0_original,test,real,elicit-pref,45
D0_original,test,real,no-need,16
D0_original,test,real,non-strategic,173
D0_original,test,real,other-need,35
D0_original,test,real,promote-coordination,72
D0_original,test,real,self-need,77
D0_original,test,real,showing-empathy,11
D0_original,test,real,small-talk,100
D0_original,test,real,uv-part,10
D0_original,test,real,vouch-fair,44
D1_balanced,train,real,elicit-pref,295
D1_balanced,train,real,no-need,164
D1_balanced,train,real,non-strategic,1147
D1_balanced,train,real,other-need,324
D1_balanced,train,real,promote-coordination,445
D1_balanced,train,real,self-need,784
D1_balanced,train,real,showing-empathy,214
D1_balanced,train,real,small-talk,833
D1_balanced,train,real,uv-part,107
D1_balanced,train,real,vouch-fair,359
D1_balanced,train,augmented,elicit-pref,357
D1_balanced,train,augmented,no-need,401
D1_balanced,train,augmented,other-need,392
D1_balanced,train,augmented,promote-coordination,562
D1_balanced,train,augmented,self-need,398
D1_balanced,train,augmented,showing-empathy,400
D1_balanced,train,augmented,small-talk,296
D1_balanced,train,augmented,uv-part,416
D1_balanced,train,augmented,vouch-fair,330
D1_balanced,dev,real,elicit-pref,37
D1_balanced,dev,real,no-need,16
D1_balanced,dev,real,non-strategic,135
D1_balanced,dev,real,other-need,50
D1_balanced,dev,real,promote-coordination,62
D1_balanced,dev,real,self-need,103
D1_balanced,dev,real,showing-empathy,29
D1_balanced,dev,real,small-talk,121
D1_balanced,dev,real,uv-part,14
D1_balanced,dev,real,vouch-fair,36
D1_balanced,test,real,elicit-pref,45
D1_balanced,test,real,no-need,16
D1_balanced,test,real,non-strategic,173
D1_balanced,test,real,other-need,35
D1_balanced,test,real,promote-coordination,72
D1_balanced,test,real,self-need,77
D1_balanced,test,real,showing-empathy,11
D1_balanced,test,real,small-talk,100
D1_balanced,test,real,uv-part,10
D1_balanced,test,real,vouch-fair,44
